Country,Province_State,Population
Australia,New South Wales,8089526
Canada,British Columbia,4648055
Canada,Ontario,13448494
China,Anhui,62550000
China,Beijing,21710000
China,Chongqing,30750000
China,Fujian,39110000
China,Gansu,26260000
China,Guangdong,111690000
China,Guangxi,48850000
China,Guizhou,35550000
China,Hainan,9170000
China,Hebei,75200000
China,Heilongjiang,37890000
China,Henan,95590000
China,Hong Kong,7335384
China,Hubei,59020000
China,Hunan,68600000
China,Inner Mongolia,25290000
China,Jiangsu,80290000
China,Jiangxi,46220000
China,Jilin,27170000
China,Liaoning,43690000
China,Ningxia,6820000
China,Shaanxi,38350000
China,Shandong,100060000
China,Shanghai,24180000
China,Shanxi,36820000
China,Sichuan,83020000
China,Tianjin,15570000
China,Xinjiang,24450000
China,Yunnan,48010000
China,Zhejiang,56570000
US,Alabama,4903185
US,Alaska,732
US,Arizona,7278717
US,Arkansas,3017804
US,California,39512223
US,Colorado,5758736
US,Connecticut,3565287
US,Delaware,974
US,District of Columbia,706
US,Florida,21477737
US,Georgia,10617423
US,Hawaii,1415872
US,Idaho,1787065
US,Illinois,12671821
US,Indiana,6732219
US,Iowa,3155070
US,Kansas,2913314
US,Kentucky,4467673
US,Louisiana,4648794
US,Maine,1344212
US,Maryland,6045680
US,Massachusetts,6892503
US,Michigan,9986857
US,Minnesota,5639632
US,Mississippi,2976149
US,Missouri,6137428
US,Montana,1068778
US,Nebraska,1934408
US,Nevada,3080156
US,New Hampshire,1359711
US,New Jersey,8882190
US,New Mexico,2096829
US,New York,19453561
US,North Carolina,10488084
US,North Dakota,762
US,Ohio,11689100
US,Oklahoma,3956971
US,Oregon,4217737
US,Pennsylvania,12801989
US,Rhode Island,1059361
US,South Carolina,5148714
US,South Dakota,885
US,Tennessee,6829174
US,Texas,28995881
US,Utah,3205958
US,Vermont,624
US,Virginia,8535519
US,Washington,7614893
US,West Virginia,1792147
US,Wisconsin,5822434
US,Wyoming,579
